Name,AssessedValue,SalePrice
Bridgeport,162040,233500
Ledyard,67830,75000
Milford,201300,255000
New Haven,49630,39900
Colebrook,196100,235000
Wethersfield,128400,165000
New Canaan,857920,1176501
East Hartford,83800,120000
Litchfield,171320,238000
Southbury,125370,119000
East Lyme,108920,148000
Monroe,262500,485000
Windsor Locks,173300,192000
Wethersfield,365100,516340
Colchester,171700,215000
Enfield,116370,152500
Branford,100500,135000
Bloomfield,184800,258000
West Hartford,116830,165000
Branford,117700,150000
Greenwich,2828420,4800000
Stamford,1361470,975000
Waterbury,102210,17293
Farmington,577370,605000
Wallingford,116600,145000
Ansonia,169500,270000
Danbury,255800,379990
Clinton,249200,330000
Putnam,85700,50000
Waterford,246510,250000
Bethany,176000,255000
Bridgeport,134840,110000
Norwich,157000,105000
Woodbury,178760,130000
Simsbury,278250,327500
Torrington,169630,74832
Wethersfield,157100,215000
Waterbury,40250,20000
Vernon,117470,165000
Wallingford,138000,197000
Danbury,128100,156000
Suffield,151760,218000
Killingly,0,60000
Haddam,113390,350000
Greenwich,2201640,3700000
Bridgeport,160290,25000
Torrington,83280,82000
Thompson,23280,460000
Coventry,90800,110000
Stratford,125440,141000
Danbury,109200,100000
Hartford,36004,83000
Guilford,482730,685000
Seymour,242060,330000
Waterbury,115990,68000
Milford,289890,447700
Wallingford,225400,247000
Bridgeport,149900,190000
Windham,31680,5000
Wallingford,99400,433234
Greenwich,2259320,2710000
Killingly,185850,97500
Franklin,51740,45000
Enfield,136350,215000
Milford,117250,162500
Darien,896840,1300000
Fairfield,290430,480000
Fairfield,706300,890000
Windsor,205240,317900
Middletown,112790,128500
Stratford,17850,22000
Norwich,113000,34000
Wilton,461300,447500
Thompson,108400,105000
Darien,1305500,1625000
New Milford,675970,1182000
Monroe,267050,329000
Guilford,341710,465000
Killingly,173110,90000
Milford,312360,557000
East Hartford,71580,118000
Greenwich,575610,875000
Brookfield,268830,449000
Bridgeport,94830,45000
Hamden,155610,95299
Hamden,175770,258000
Bridgeport,138520,76000
New Milford,175840,225000
Wethersfield,260400,390000
Middlebury,129301,325000
Stamford,32550,37500
Hamden,240100,350000
Southington,153150,300000
Montville,187530,212000
Old Saybrook,498900,555000
Watertown,210600,190000
