Team,Conference,Area,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Promotion
Golden State Warriors*,Western,PacificDivision,82,241.2,43.1,87.1,0.495,12,31.3,0.383,31.1,55.8,0.557,17.8,22.6,0.788,9.4,35,44.4,30.4,9.6,6.8,14.8,19.3,115.9,1
Houston Rockets*,Western,SouthwestDivision,82,241.2,40.3,87.2,0.462,14.4,40.3,0.357,25.9,46.9,0.552,20.3,26.5,0.766,10.9,33.5,44.4,25.2,8.2,4.3,15.1,19.9,115.3,1
Denver Nuggets,Western,NorthwestDivision,82,240.9,41.2,87.7,0.469,10.6,28.8,0.368,30.6,58.9,0.519,18.7,24.2,0.774,11.8,34.5,46.3,25.3,7,3.9,14.9,19.1,111.7,0
Los Angeles Clippers*,Western,PacificDivision,82,240.9,39.5,83.2,0.475,10.3,27.4,0.375,29.3,55.8,0.525,19.3,26,0.745,9,34,43.1,22.5,7.5,4.3,13,19.8,108.7,1
Portland Trail Blazers*,Western,NorthwestDivision,82,243,39.5,86.1,0.459,10.4,27.7,0.375,29.2,58.4,0.499,18.5,23.7,0.78,10.1,33.5,43.7,21.1,7,5,13.7,21.2,107.9,1
Phoenix Suns,Western,PacificDivision,82,241.8,39.9,88.5,0.45,7.5,22.6,0.332,32.4,65.9,0.491,20.4,26.3,0.776,11.9,33.1,45,19.6,8.2,4.9,15.4,24.8,107.7,0
Oklahoma City Thunder*,Western,NorthwestDivision,82,241.5,39.5,87.4,0.452,8.4,25.8,0.327,31,61.6,0.504,19.2,25.8,0.745,12.2,34.4,46.6,21,7.9,5,15,20.9,106.6,1
Minnesota Timberwolves,Western,NorthwestDivision,82,241.5,39.5,84.4,0.467,7.3,21,0.349,32.1,63.4,0.507,19.3,24.2,0.799,11.4,31,42.4,23.7,8,4.5,14,20.1,105.6,0
San Antonio Spurs*,Western,SouthwestDivision,82,241.5,39.3,83.7,0.469,9.2,23.5,0.391,30.1,60.2,0.5,17.6,22,0.797,10,33.9,43.9,23.8,8,5.9,13.4,18.3,105.3,1
Los Angeles Lakers,Western,PacificDivision,82,240.3,39.3,87.4,0.45,8.9,25.7,0.346,30.4,61.7,0.493,17,22.6,0.754,11.4,32.1,43.5,20.9,8.2,3.9,15.2,20.7,104.6,0
New Orleans Pelicans,Western,SouthwestDivision,82,242.7,39.1,87,0.45,9.4,26.8,0.35,29.8,60.2,0.495,16.7,22.3,0.75,8.6,35.1,43.7,22.8,7.8,5.5,12.9,18.2,104.3,0
Sacramento Kings,Western,PacificDivision,82,242.4,37.9,82.1,0.461,9,23.9,0.376,28.9,58.2,0.496,18.1,23.3,0.775,8.7,32.5,41.2,22.5,7.6,4,14.6,20.3,102.8,0
Utah Jazz*,Western,NorthwestDivision,82,240.9,37,79.4,0.466,9.6,25.9,0.372,27.3,53.5,0.511,17.1,22.9,0.747,9.4,33.8,43.2,20.1,6.7,5,13.6,18.8,100.7,1
Memphis Grizzlies*,Western,SouthwestDivision,82,242.7,36.4,83.6,0.435,9.4,26.5,0.354,27,57.1,0.473,18.3,23.4,0.784,10.8,32,42.8,21.3,8,4.2,12.9,22.4,100.5,1
Dallas Mavericks,Western,SouthwestDivision,82,241.2,36.2,82.3,0.44,10.7,30.2,0.355,25.5,52.2,0.489,14.8,18.5,0.801,7.9,30.7,38.6,20.8,7.5,3.8,11.9,19.1,97.9,0
