iter	Logloss
0	0.6708732432
1	0.6497716085
2	0.6348541783
3	0.6196148554
4	0.6016508269
5	0.585178474
6	0.5725990871
7	0.5599418152
8	0.5479676485
9	0.5360408398
10	0.5319644123
11	0.5210087139
12	0.5146380662
13	0.5117893211
14	0.5087474781
15	0.5013375292
16	0.493453692
17	0.4869899069
18	0.4792122058
19	0.4753265715
20	0.4687668594
21	0.4637827049
22	0.4594346797
23	0.4539734945
24	0.4479675432
25	0.4435056491
26	0.437954138
27	0.4343020684
28	0.4295463594
29	0.426758566
30	0.422272885
31	0.4191731386
32	0.4150862059
33	0.4123871511
34	0.4099398503
35	0.4070619041
36	0.4057373569
37	0.4033996582
38	0.4006995262
39	0.3982518109
40	0.3974089015
41	0.3947701997
42	0.3935233764
43	0.3920919408
44	0.3904718254
45	0.3893220789
46	0.3870172805
47	0.3851207247
48	0.3829585748
49	0.3826656989
50	0.3814077715
51	0.380175946
52	0.3787942994
53	0.3770968591
54	0.3750921332
55	0.3731753327
56	0.37239593
57	0.3713178463
58	0.3707875986
59	0.3696711636
60	0.3692338572
61	0.3683439149
62	0.3671045495
63	0.3656486828
64	0.3641667871
65	0.3634429621
66	0.3622153281
67	0.3611191497
68	0.3601393344
69	0.359133408
70	0.3585870768
71	0.3575483752
72	0.3561561529
73	0.3549411734
74	0.3540695832
75	0.3539522595
76	0.3535591138
77	0.3523309821
78	0.3515372027
79	0.3501214811
80	0.3493665853
81	0.3493293122
82	0.3489649267
83	0.3479371361
84	0.3473047901
85	0.3465502511
86	0.345463437
87	0.344377204
88	0.3440757644
89	0.3427580092
90	0.3421216879
91	0.341338141
92	0.3410712151
93	0.340074066
94	0.3393972936
95	0.3390531933
96	0.3382968711
97	0.3368809981
98	0.3356801066
99	0.3350199577
