iter	Passed	Remaining
0	69	6875
1	84	4164
2	100	3235
3	114	2746
4	130	2487
5	145	2287
6	161	2151
7	179	2059
8	193	1959
9	208	1873
10	220	1786
11	237	1742
12	250	1674
13	261	1605
14	273	1549
15	289	1518
16	304	1486
17	319	1454
18	335	1431
19	349	1399
20	366	1380
21	385	1366
22	402	1347
23	418	1325
24	434	1304
25	451	1284
26	470	1271
27	488	1255
28	505	1237
29	522	1219
30	538	1197
31	555	1181
32	572	1163
33	589	1143
34	603	1121
35	619	1101
36	632	1076
37	647	1056
38	663	1038
39	680	1020
40	693	997
41	711	982
42	725	961
43	738	939
44	751	919
45	765	898
46	782	881
47	801	868
48	817	850
49	827	827
50	838	806
51	854	788
52	871	772
53	888	757
54	905	741
55	921	724
56	936	706
57	954	690
58	967	672
59	984	656
60	997	637
61	1010	619
62	1027	603
63	1043	587
64	1061	571
65	1075	553
66	1090	537
67	1107	521
68	1123	504
69	1140	488
70	1157	472
71	1174	456
72	1190	440
73	1207	424
74	1223	407
75	1235	390
76	1249	373
77	1265	357
78	1282	340
79	1299	324
80	1317	308
81	1329	291
82	1345	275
83	1362	259
84	1378	243
85	1394	227
86	1412	211
87	1429	194
88	1442	178
89	1458	162
90	1476	146
91	1494	129
92	1506	113
93	1525	97
94	1542	81
95	1556	64
96	1573	48
97	1590	32
98	1608	16
99	1626	0
